timestamp,datetime,tvl_usd
1749092400,2025-06-05 03:00:00,111840126.21697558
1749088800,2025-06-05 02:00:00,111700876.17196292
1749085200,2025-06-05 01:00:00,111681490.72500548
1749081600,2025-06-05 00:00:00,111717636.09223275
1749078000,2025-06-04 23:00:00,111723806.62883624
1749074400,2025-06-04 22:00:00,111724469.39420506
1749070800,2025-06-04 21:00:00,112123915.40912901
1749067200,2025-06-04 20:00:00,112351301.87072575
1749063600,2025-06-04 19:00:00,112504218.83666857
1749060000,2025-06-04 18:00:00,112622188.30198503
1749056400,2025-06-04 17:00:00,112499046.72935355
1749052800,2025-06-04 16:00:00,111967005.90092218
1749049200,2025-06-04 15:00:00,111833534.0868134
1749045600,2025-06-04 14:00:00,112048525.51635565
1749042000,2025-06-04 13:00:00,112722023.756022
1749038400,2025-06-04 12:00:00,113092250.80761163
1749034800,2025-06-04 11:00:00,112355527.79247965
1749031200,2025-06-04 10:00:00,112418312.65140559
1749027600,2025-06-04 09:00:00,112466533.12865356
1749024000,2025-06-04 08:00:00,112582776.21675938
1749020400,2025-06-04 07:00:00,112918133.94689268
1749016800,2025-06-04 06:00:00,113583424.20853886
1749013200,2025-06-04 05:00:00,114771126.90387519
1749009600,2025-06-04 04:00:00,117060790.84488913
1749006000,2025-06-04 03:00:00,120452326.24432603
1749002400,2025-06-04 02:00:00,133000999.8144556
1748998800,2025-06-04 01:00:00,127586915.47623888
1748995200,2025-06-04 00:00:00,111977429.18468155
1748991600,2025-06-03 23:00:00,112088103.62398618
1748988000,2025-06-03 22:00:00,112234494.76347257
1748984400,2025-06-03 21:00:00,112333071.09918228
1748980800,2025-06-03 20:00:00,112308176.64148568
1748977200,2025-06-03 19:00:00,112266988.4905199
1748973600,2025-06-03 18:00:00,112311187.19961976
1748970000,2025-06-03 17:00:00,112516563.10034499
1748966400,2025-06-03 16:00:00,112441386.2956241
1748962800,2025-06-03 15:00:00,112355734.03572139
1748959200,2025-06-03 14:00:00,112326883.06608042
1748955600,2025-06-03 13:00:00,112234189.45926458
1748952000,2025-06-03 12:00:00,112262995.52029791
1748948400,2025-06-03 11:00:00,112188082.10927716
1748944800,2025-06-03 10:00:00,112164683.78144273
1748941200,2025-06-03 09:00:00,112232571.36827421
1748937600,2025-06-03 08:00:00,112247573.97764656
1748934000,2025-06-03 07:00:00,112160552.5082513
1748930400,2025-06-03 06:00:00,112103196.35438375
1748926800,2025-06-03 05:00:00,112106865.5268321
1748923200,2025-06-03 04:00:00,112327951.94843072
1748919600,2025-06-03 03:00:00,112425392.90554443
1748916000,2025-06-03 02:00:00,112239275.79356924
1748912400,2025-06-03 01:00:00,112089303.36695056
1748908800,2025-06-03 00:00:00,111787213.78184399
1748905200,2025-06-02 23:00:00,111426861.88602391
1748901600,2025-06-02 22:00:00,111174225.73152152
1748898000,2025-06-02 21:00:00,111105010.61206597
1748894400,2025-06-02 20:00:00,111177192.46875077
1748890800,2025-06-02 19:00:00,111191745.5953291
1748887200,2025-06-02 18:00:00,111054481.11071694
1748883600,2025-06-02 17:00:00,110932935.57331207
1748880000,2025-06-02 16:00:00,110671996.88916534
