timestamp,datetime,open,high,low,close,volume
1749481200,2025-06-09 15:00:00,2531.37,2533.98,2530.75,2533.98,318898.80874006567
1749477600,2025-06-09 14:00:00,2521.0,2537.65,2519.79,2531.37,4040489.0393863674
1749474000,2025-06-09 13:00:00,2545.89,2545.89,2521.0,2521.0,4339121.559939028
1749470400,2025-06-09 12:00:00,2541.57,2545.94,2538.74,2545.89,3079339.499965617
1749466800,2025-06-09 11:00:00,2535.86,2542.7,2534.55,2541.57,2937422.364187827
1749463200,2025-06-09 10:00:00,2511.92,2536.11,2511.1,2535.86,3753936.026227876
1749459600,2025-06-09 09:00:00,2493.36,2511.92,2493.36,2511.92,2766529.4366372577
1749456000,2025-06-09 08:00:00,2491.04,2493.36,2489.28,2493.36,1004004.1562452428
1749452400,2025-06-09 07:00:00,2491.52,2492.72,2488.0,2491.04,2014979.0743909318
1749448800,2025-06-09 06:00:00,2484.19,2491.52,2482.65,2491.52,927388.0258342043
1749445200,2025-06-09 05:00:00,2488.78,2489.02,2484.19,2484.19,1517797.796423541
1749441600,2025-06-09 04:00:00,2493.51,2495.88,2488.78,2488.78,624647.8055363103
1749438000,2025-06-09 03:00:00,2496.13,2496.13,2488.05,2493.51,1797362.6113165917
1749434400,2025-06-09 02:00:00,2499.82,2501.66,2496.13,2496.13,1509907.762462634
1749430800,2025-06-09 01:00:00,2504.73,2504.77,2498.89,2499.82,1399606.583263324
1749427200,2025-06-09 00:00:00,2508.88,2509.15,2504.65,2504.73,2564345.54980228
1749423600,2025-06-08 23:00:00,2511.27,2511.27,2507.42,2508.88,2048977.227071921
1749420000,2025-06-08 22:00:00,2537.05,2537.55,2511.27,2511.27,5489029.319090163
1749416400,2025-06-08 21:00:00,2533.65,2537.05,2533.54,2537.05,1401212.779004276
1749412800,2025-06-08 20:00:00,2534.13,2535.0,2532.92,2533.65,1370412.1715389136
1749409200,2025-06-08 19:00:00,2530.99,2536.66,2530.99,2534.13,1118491.0858967146
1749405600,2025-06-08 18:00:00,2527.88,2530.99,2525.92,2530.99,1587544.940244227
1749402000,2025-06-08 17:00:00,2527.05,2530.09,2527.05,2527.88,2092437.5285138148
1749398400,2025-06-08 16:00:00,2515.46,2527.05,2515.38,2527.05,1942502.2315641593
1749394800,2025-06-08 15:00:00,2511.77,2518.24,2511.77,2515.46,1457783.3840908676
1749391200,2025-06-08 14:00:00,2515.79,2515.79,2509.69,2511.77,1663179.4773947098
1749387600,2025-06-08 13:00:00,2507.89,2516.06,2506.77,2515.79,2118411.1976648616
1749384000,2025-06-08 12:00:00,2514.47,2514.65,2507.07,2507.89,1308346.040173308
1749380400,2025-06-08 11:00:00,2501.52,2514.47,2501.52,2514.47,1740671.554730325
1749376800,2025-06-08 10:00:00,2501.17,2501.64,2496.16,2501.52,990816.7628506374
1749373200,2025-06-08 09:00:00,2518.34,2518.34,2501.17,2501.17,1872483.750167494
1749369600,2025-06-08 08:00:00,2514.43,2518.34,2514.43,2518.34,605628.226325954
